id,node1,node2,distance
3355,4337344087,608442019,9.358
3356,4337344087,608425111,172.75799999999998
3357,4337363110,499751496,11.054
3358,4337584909,1273784621,61.275
3359,4337584909,5457715974,50.361
3360,4337589731,651818928,179.543
3361,4337589731,4337589732,58.033
3362,4337589732,746787208,8.363
3363,4337589732,1834912734,126.792
3364,4337589732,4337589731,58.033
3365,4337589741,746787230,11.339
3366,4337589742,746787245,9.573
3367,4337589743,746787334,9.915
3368,4337600048,4337600049,8.037
3369,4337600048,475477793,55.260999999999996
3370,4337600049,4337600048,8.037
3371,4337600049,4337660504,13.759
3372,4337600049,331596288,186.502
3373,4337660504,4346615024,62.122
3374,4337660504,4337600049,13.759
3375,4337660504,746786909,7.858
3376,4337702896,4337702901,21.649
3377,4337702896,1829377358,43.934
3378,4337702901,4346623030,52.95
3379,4337745395,4337745396,13.786
3380,4337745395,4341331576,7.271
3381,4337745395,331596284,52.977
3382,4337745396,4341331577,14.987
3383,4337745396,4337745395,13.786
3384,4337745397,1273721262,7.71
3385,4337745397,4337745396,50.565
3386,4341331576,4337745395,7.271
3387,4341331576,1842988781,52.08
3388,4341331577,4341331578,11.502
3389,4341331577,474879545,214.693
3390,4341331578,4341331577,11.502
3391,4341331578,1273817412,31.307000000000002
3392,4341838911,4270651108,9.502
3393,4343286741,606937023,8.535
3394,4343286742,606937031,7.95
3395,4343393903,649998974,93.875
3396,4343393903,4343393904,20.691000000000003
3397,4343393904,4343393905,56.601
3398,4343393904,649998852,9.233
3399,4343393905,649998843,10.277
3400,4343393905,606937073,43.561
3401,4343408399,331597610,17.552
3402,4343408399,462980385,115.75
3403,4343408400,4343408399,19.01
3404,4343408400,4343408401,18.895
3405,4343408401,316802849,156.594
3406,4346558747,4346558760,17.659
3407,4346558747,589642691,19.468
3408,4346558749,4346558755,20.586
3409,4346558749,4346558747,9.431
3410,4346558750,4346558757,14.748000000000001
3411,4346558750,650001532,285.258
3412,4346558750,317337971,75.06400000000001
3413,4346558755,4346558750,13.165
3414,4346558757,4346558760,26.601
3415,4346558757,4346558747,18.711
3416,4346558760,317337972,51.418000000000006
3417,4346571268,317337921,35.052
3418,4346571268,4346571269,15.218
3419,4346571269,301455189,31.788
3420,4346571270,4346571268,40.058
3421,4346571271,4346571269,49.112
3422,4346571271,4346571270,16.451
3423,4346571272,4346571273,19.449
3424,4346571272,4346571270,19.855
3425,4346571273,4346571271,3.287
3426,4346601316,4346601317,19.698
3427,4346601316,317337878,176.65900000000002
3428,4346601317,317337927,33.013
3429,4346609884,4346609885,6.796
3430,4346609884,4337660504,98.163
3431,4346609885,4346609884,6.796
3432,4346609885,746786909,97.987
3433,4346615024,4337335335,49.901
3434,4346615024,746786911,8.364
3435,4346623029,4346623030,13.492
3436,4346623029,1843155243,40.086
3437,4346623030,4346623033,46.046
3438,4346623031,1843155243,7.662
3439,4346623033,4346623034,12.849
3440,4347476109,4347476110,12.527
3441,4347476110,611484206,18.637
3442,4347476110,593898417,109.00399999999999
3443,4406247071,649999744,62.062000000000005
3444,4406252095,8888728717,44.318
3445,4406285449,1832795857,43.543
3446,4406285450,1832795855,54.496
3447,4429518880,607235525,54.443
3448,4429518880,4429518881,97.622
3449,4429518880,607235498,72.655
3450,4429518881,607235455,51.454
3451,4429518881,4429518880,97.622
3452,4429518881,607235460,70.59100000000001
3453,4439756186,607233032,59.411
3454,4439778396,4331243721,51.49
3455,4439778396,4331243720,55.82
3456,4439778396,5941662177,46.673
3457,4439786092,548738654,92.074
3458,4439786092,548738624,88.52
3459,4439786092,548738351,51.694
3460,4738331491,1829377375,52.695
3461,4738331491,4738331493,63.188
3462,4738331491,4738331492,37.795
3463,4738331492,4738331491,37.795
3464,4738331492,4738331493,76.227
3465,4738331492,4738331501,53.590999999999994
3466,4738331493,4738331491,63.188
3467,4738331493,1403237266,48.191
3468,4738331493,4738331492,76.227
3469,4738331501,1829377369,10.679
3470,4738331501,1273541734,42.489999999999995
3471,4738331501,4738331492,53.591
3472,5007846146,607233015,59.213
3473,5049882985,2166224153,13.281
3474,5049882985,6131565503,140.427
3475,5052322885,607234036,105.93299999999999
3476,5052322885,7844337808,170.645
3477,5052322885,607234045,56.574
3478,5260800878,5500275788,7.461
3479,5260800878,5500275788,7.461
3480,5381377898,1273727980,122.45
3481,5381377898,10691359316,73.34700000000001
3482,5381377898,1273469892,79.764
3483,5381377899,1273727980,52.120999999999995
3484,5381377899,1273469892,82.28
3485,5393451565,1371263278,47.613
3486,5393451565,1273913267,104.611
3487,5393451565,1273817412,57.451
3488,5393451566,1371263278,52.13
3489,5393451566,1829377368,52.454
3490,5393451566,1273595088,103.596
3491,5393451567,1829377364,49.803
3492,5393451567,1273714364,52.83
3493,5393451567,1273589644,155.179
3494,5433316550,1273487046,119.546
3495,5433316550,5433316550,0
3496,5433316550,5433316550,0
3497,5437755529,5437755531,52.761
3498,5437755529,317337756,56.276
3499,5437755529,5437755530,163.14
3500,5437755529,1273972470,126.446
3501,5437755530,1273484050,53.567
3502,5437755530,317337758,55.557
3503,5437755530,5437755529,163.14
3504,5437755531,1403237266,52.895
3505,5437755531,5437755529,52.761
3506,5437755531,1273484050,162.768
3507,5437755532,746787348,103.594
3508,5437755532,1273771918,18.281
3509,5457715974,1273635073,160.102
3510,5457715974,1273749237,37.09
3511,5475079661,5475079662,52.783
3512,5475079661,746786911,84.471
3513,5475079661,2166203827,110.485
3514,5475079662,746787117,56.952
3515,5475079662,5475079661,52.783
3516,5475079662,2166203818,107.27
3517,5500275788,3495145383,6.989
3518,5500275788,2166238126,93.037
3519,5543183484,2166222107,28.745
3520,5543183484,1273742489,53.926
3521,5543183484,2166222105,25.519
3522,5543194925,1273695071,48.337999999999994
3523,5543194928,494746323,141.628
3524,5543194928,1273832914,63.142
3525,5615941388,1409885145,39.005
3526,5615941388,5615941396,45.686
3527,5615941388,1409885147,73.408
3528,5615941393,1409885150,84.289
3529,5615941396,5615941388,45.686
3530,5615941396,5615941397,5.507
3531,5615941396,1273834081,91.518
3532,5615941397,5615941396,5.507
3533,5615941400,1273974433,27.518
3534,5615941402,5615941403,67.611
3535,5615941402,1273587697,85.387
3536,5615941402,5615941404,62.108000000000004
3537,5615941403,5615941402,67.611
3538,5615941404,5615941402,62.108000000000004
3539,5728765646,746787013,99.784
3540,5728765646,1273588261,59.901
3541,5728765646,2166218024,57.639
3542,5728765647,1273677015,35.913
3543,5728906441,317337496,11.228
3544,5728906441,474879624,130.172
3545,5818344733,593898399,172.608
3546,5818969935,6290603421,110.52499999999999
3547,5818969935,317337732,21.080000000000002
3548,5941662177,4331243722,56.578
3549,5941662177,4439778396,46.673
3550,5941662177,4331243723,51.117
3551,6108513977,3495160478,7.57
3552,6108513977,5260800878,84.05499999999999
3553,6129317401,746787185,11.466
3554,6129317401,746787349,11.649
3555,6129338728,608424612,91.029
3556,6129338728,6129338729,77.634
3557,6129338728,608421673,214.75400000000002
3558,6129338729,6129338728,77.634
3559,6129338729,4221913058,64.113
3560,6129373520,608390443,13.234
3561,6129373520,608420779,136.66
3562,6129476440,607233453,78.548
3563,6129476440,607233888,10.896
3564,6129476441,607233888,78.537
3565,6129476441,607233453,11.385
3566,6131565503,650005219,69.755
3567,6131565503,4139638809,12.759
3568,6178838685,607232989,52.635
3569,6290603420,4139638812,98.386
3570,6290603420,6290603421,14.306000000000001
3571,6290603421,746787334,36.974000000000004
3572,6290603421,6290603420,14.306000000000001
3573,6295032956,661980193,10.242
3574,6295032956,317337831,108.625
3575,6302693059,4139638809,97.634
3576,6302693059,6302693060,11.834
3577,6302693060,650005181,23.305
3578,6302693060,6302693059,11.834
3579,6302798876,6302798877,56.637
3580,6302798876,608345636,152.358
3581,6302798876,608347580,162.707
3582,6302798877,6302798876,56.637
3583,6302798877,608319852,223.27100000000002
3584,6302798877,607233268,151.60500000000002
3585,6495435022,475477148,14.209
3586,6495435022,2166203844,6.819
3587,6495435022,2166203841,59.934
3588,6855748075,548734808,192.27700000000002
3589,6855748075,548736229,104.71100000000001
3590,7070680189,1842988775,28.256
3591,7792299868,589643195,131.504
3592,7792299868,7792299884,6.968
3593,7792299884,7792325729,23.772
3594,7792299884,7792325688,235.21499999999997
3595,7792325685,7792299868,6.827
3596,7792325685,7792299884,7.489
3597,7792325687,474873203,211.118
3598,7792325687,257943483,532.765
3599,7792325688,474873270,143.129
3600,7792325688,7792325687,98.852
3601,7792325729,7792325726,739.0849999999998
3602,7844337808,5052322885,170.645
3603,7844337808,607234426,78.229
3604,7844337808,6108513977,102.061
3605,8234459405,8234459405,0
3606,8234459405,8234459405,0
3607,8234459405,475476747,67.67
3608,8234580973,746787178,17.797
3609,8796463076,4332689687,47.476
