id,X,Y
475477946,-77.1018354,-12.0696845
475478044,-77.1036008,-12.0703633
475478045,-77.1037453,-12.070989
494379565,-77.0706544,-12.0634099
494413680,-77.0781542,-12.0642157
494413697,-77.0713832,-12.0642986
494493544,-77.0741111,-12.0761731
494493560,-77.079223,-12.0749324
494493571,-77.0829091,-12.0746231
494493621,-77.0848693,-12.0744
494493627,-77.0829572,-12.0747296
494548981,-77.0819265,-12.0652182
494600082,-77.073778,-12.0660371
494600139,-77.0723142,-12.0656499
494600141,-77.0736496,-12.0660213
494746320,-77.073602,-12.0632366
494746323,-77.0748768,-12.0634168
494746395,-77.0774503,-12.0640283
495350837,-77.0737432,-12.0672841
495351202,-77.076167,-12.0675732
499727087,-77.0703309,-12.0632803
499734194,-77.0706162,-12.0636201
499745932,-77.0712637,-12.0643925
499751496,-77.0694792,-12.067678
499773065,-77.0715697,-12.0677211
499773518,-77.0720728,-12.0653698
499775029,-77.0732943,-12.0668286
499796384,-77.0730909,-12.0632918
499796388,-77.0731828,-12.0642463
499796395,-77.0736618,-12.0653919
499796410,-77.0723681,-12.0647008
499796426,-77.0731718,-12.0637778
499797434,-77.0736144,-12.0675192
499840956,-77.077292,-12.0659654
499841740,-77.0742721,-12.0672895
499841834,-77.0743395,-12.0639196
499843646,-77.0752837,-12.0659289
499843649,-77.0743079,-12.0659106
499844763,-77.0773888,-12.0650587
499845689,-77.0773514,-12.0654816
499845695,-77.0753949,-12.0641396
499846302,-77.0748429,-12.0640068
499847003,-77.0774059,-12.0646189
499847010,-77.0738221,-12.0638981
544355321,-77.0794632,-12.080641
548732884,-77.0840806,-12.087405
548734808,-77.0790569,-12.0853667
548736076,-77.0830083,-12.0852897
548736229,-77.0807394,-12.086475
548737131,-77.0827176,-12.0854466
548737577,-77.0810318,-12.0823015
548738100,-77.0814979,-12.0841373
548738116,-77.0806103,-12.0825006
548738318,-77.0810784,-12.0843398
548738351,-77.0820819,-12.0852407
548738624,-77.0809455,-12.0858367
548738654,-77.081274,-12.0847232
548738831,-77.0805605,-12.0851109
548738834,-77.0801514,-12.0853327
548739106,-77.0811617,-12.0862528
548740274,-77.0851018,-12.0841369
548740670,-77.0845498,-12.0842821
548741400,-77.0849729,-12.0853051
548742773,-77.0872035,-12.0848066
548744434,-77.0870558,-12.073738
548745148,-77.0940665,-12.0788815
548745860,-77.1000806,-12.074265
548746499,-77.0993653,-12.0746139
548746518,-77.0991899,-12.0745202
548759596,-77.1012656,-12.0735327
548815064,-77.0998623,-12.0773178
589642443,-77.0938638,-12.0770758
589642520,-77.0778951,-12.0684599
589642541,-77.0791561,-12.0741481
589642550,-77.0781912,-12.0715402
589642569,-77.0797755,-12.0748205
589642572,-77.079854,-12.07492
589642608,-77.0795851,-12.074849
589642628,-77.083821,-12.074638
589642633,-77.0796581,-12.0749304
589642691,-77.0845262,-12.0782086
589642694,-77.0845873,-12.0789101
589642708,-77.0851978,-12.0781922
589642714,-77.0852163,-12.0788746
589643101,-77.0896044,-12.0872473
589643132,-77.0933855,-12.0775083
589643195,-77.0964774,-12.0841056
592287414,-77.0934982,-12.07746
592287531,-77.0906876,-12.0779135
592287606,-77.0933062,-12.0770645
593898337,-77.0903863,-12.0845685
593898338,-77.0908131,-12.0852572
593898339,-77.0913686,-12.0864478
